CspProjectId,Type,Context,CriteriaCloudAccounts,CriteriaRules
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f67a550e1fb6560bd0
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,3ec2361e-87e3-4cda-b3c0-ec2322205f16
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,bc8f3ffa-09d8-4465-80b6-068ebba38a31
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,282706844260,7076b215-64de-443c-a49b-4eb2030019d8
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,325733683423,5c8c25f37a550e1fb6560bca
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,77539374103,084348fa-552d-4828-ba91-9c0e95d26c57
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,1d187035-9fff-48b2-a7c3-ffc56a4da5e6
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,18bd422d-6d42-443e-aba3-7feaea03617a
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,77539374103,5c8c263b7a550e1fb6560c35
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f07a550e1fb6560bc7
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,31686868338,2f9da251-dbbf-408b-954c-fdcdd902aa1e
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f77a550e1fb6560bd3
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f77a550e1fb6560bd3
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,31686868338,084348fa-552d-4828-ba91-9c0e95d26c57
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c263d7a550e1fb6560c38
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c264a7a550e1fb6560c4d
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,ab17b9a8-c319-40ee-9c0d-3c18293a4895
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,3a53f171-339b-46f3-abdc-2de7f3063fd9
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f67a550e1fb6560bd0
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,ab17b9a8-c319-40ee-9c0d-3c18293a4895
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f77a550e1fb6560bd3
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,325733683423,d42158b9-c08d-4983-bade-5d5f478ce3bc
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f67a550e1fb6560bd0
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,1d187035-9fff-48b2-a7c3-ffc56a4da5e6
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,cf9c33e7-292e-45d7-8859-36cf218538a2
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,31686868338,5c8c25f67a550e1fb6560bd0
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,3fedf4d7-1177-45b3-899f-f0ea150d3c01
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f37a550e1fb6560bca
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,77539374103,5c8c25f77a550e1fb6560bd3
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,3a53f171-339b-46f3-abdc-2de7f3063fd9
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,82176615813,7076b215-64de-443c-a49b-4eb2030019d8
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,325733683423,5c8c263d7a550e1fb6560c38
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,d42158b9-c08d-4983-bade-5d5f478ce3bc
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,31686868338,4150dadf-2f01-4c51-84d4-c22adf5b62f8
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,44ba842d-dd19-4294-a298-f335218f2cfe
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,82176615813,5c8c25f77a550e1fb6560bd3
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f77a550e1fb6560bd3
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,31686868338,5f034e02-36b2-490c-943b-62f49393cb00
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f77a550e1fb6560bd3
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,1d187035-9fff-48b2-a7c3-ffc56a4da5e6
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25ec7a550e1fb6560bbe
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f77a550e1fb6560bd3
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,d42158b9-c08d-4983-bade-5d5f478ce3bc
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f67a550e1fb6560bd0
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,77539374103,bdc54b11-ece6-44b4-92a6-2bd3783fd0f2
